"","year","output"
"1",2019,0.0123796666992609
"2",2020,0.0148999630052562
"3",2021,0.0150347646309594
"4",2022,0.0158494662958089
"5",2023,0.0145265303059492
"6",2024,0.0159624894407308
"7",2025,0.0149436195958852
"8",2026,0.0157076333022159
"9",2027,0.0154077727417345
"10",2028,0.0158253200497387
"11",2029,0.0154907926285725
"12",2030,0.0163343848783582
"13",2031,0.0156688703841265
"14",2032,0.016550510576127
"15",2033,0.0152896814228765
"16",2034,0.0170869048512975
"17",2035,0.0156769866842132
"18",2036,0.0169086651787222
"19",2037,0.0156431355413727
"20",2038,0.0164998678386932
