"","YEAR","SEGMENT","FUEL_TYPE","preds","mpg.lagpct"
"1",2018,"Heavy","DIESEL",5.36339042900083,NA
"2",2019,"Heavy","DIESEL",5.45345521263931,0.0167925092962621
"3",2020,"Heavy","DIESEL",5.54503240999434,0.0167925092962693
"4",2021,"Heavy","DIESEL",5.63814741828725,0.0167925092962622
"5",2022,"Heavy","DIESEL",5.73282606122257,0.0167925092962692
"6",2023,"Heavy","DIESEL",5.82909459614951,0.016792509296262
"7",2024,"Heavy","DIESEL",5.92697972134418,0.0167925092962693
"8",2025,"Heavy","DIESEL",6.02650858341361,0.016792509296262
"9",2026,"Heavy","DIESEL",6.12770878482458,0.0167925092962621
"10",2027,"Heavy","DIESEL",6.23060839155858,0.0167925092962692
"11",2028,"Heavy","DIESEL",6.3352359408952,0.0167925092962621
"12",2029,"Heavy","DIESEL",6.44162044932674,0.0167925092962694
"13",2030,"Heavy","DIESEL",6.54979142060505,0.016792509296262
"14",2018,"Light","DIESEL",22.1812678733967,NA
"15",2019,"Light","DIESEL",24.7033183040144,0.113701815649707
"16",2020,"Light","DIESEL",27.5121304477527,0.113701815649675
"17",2021,"Light","DIESEL",30.6403096320537,0.113701815649707
"18",2022,"Light","DIESEL",34.1241684692865,0.113701815649675
"19",2023,"Light","DIESEL",38.0041483817787,0.113701815649644
"20",2024,"Light","DIESEL",42.3252890550078,0.113701815649707
"21",2025,"Light","DIESEL",47.1377512684595,0.113701815649675
"22",2026,"Light","DIESEL",52.4973991733276,0.113701815649707
"23",2027,"Light","DIESEL",58.4664487762207,0.113701815649675
"24",2028,"Light","DIESEL",65.1141901566657,0.113701815649675
"25",2029,"Light","DIESEL",72.5177918020389,0.113701815649707
"26",2030,"Light","DIESEL",80.7631963968335,0.113701815649644
"27",2018,"Medium","DIESEL",12.2718110739508,NA
"28",2019,"Medium","DIESEL",12.4277810295324,0.0127096118610131
"29",2020,"Medium","DIESEL",12.5857333027115,0.0127096118610204
"30",2021,"Medium","DIESEL",12.7456930879752,0.0127096118610131
"31",2022,"Medium","DIESEL",12.907685900023,0.0127096118610203
"32",2023,"Medium","DIESEL",13.0717375778362,0.0127096118610132
"33",2024,"Medium","DIESEL",13.2378742887996,0.0127096118610203
"34",2025,"Medium","DIESEL",13.4061225328752,0.0127096118610131
"35",2026,"Medium","DIESEL",13.5765091468292,0.0127096118610132
"36",2027,"Medium","DIESEL",13.749061308513,0.0127096118610203
"37",2028,"Medium","DIESEL",13.9238065411974,0.0127096118610132
"38",2029,"Medium","DIESEL",14.100772717964,0.0127096118610203
"39",2030,"Medium","DIESEL",14.2799880661497,0.0127096118610131
"40",2018,"Heavy","E85",4.16514681415302,NA
"41",2019,"Heavy","E85",4.00134478247597,-0.0393268326389961
"42",2020,"Heavy","E85",3.84398456588467,-0.0393268326389825
"43",2021,"Heavy","E85",3.69281282819519,-0.0393268326390098
"44",2022,"Heavy","E85",3.54758619613362,-0.0393268326389961
"45",2023,"Heavy","E85",3.40807086752591,-0.0393268326389825
"46",2024,"Heavy","E85",3.27404223489688,-0.0393268326389962
"47",2025,"Heavy","E85",3.14528452387208,-0.0393268326389961
"48",2026,"Heavy","E85",3.02159044579974,-0.0393268326389962
"49",2027,"Heavy","E85",2.90276086403419,-0.0393268326389961
"50",2028,"Heavy","E85",2.78860447334329,-0.0393268326389962
"51",2029,"Heavy","E85",2.67893749192376,-0.0393268326389963
"52",2030,"Heavy","E85",2.57358336552854,-0.0393268326389961
"53",2018,"Light","E85",15.5908480159768,NA
"54",2019,"Light","E85",15.5112468723918,-0.00510563270859206
"55",2020,"Light","E85",15.4320521430092,-0.00510563270857797
"56",2021,"Light","E85",15.3532617528268,-0.00510563270862039
"57",2022,"Light","E85",15.2748736374375,-0.00510563270862043
"58",2023,"Light","E85",15.1968857429746,-0.00510563270859203
"59",2024,"Light","E85",15.1192960260565,-0.00510563270859219
"60",2025,"Light","E85",15.0421024537346,-0.00510563270862032
"61",2026,"Light","E85",14.965303003441,-0.00510563270857802
"62",2027,"Light","E85",14.8888956629322,-0.0051056327086204
"63",2028,"Light","E85",14.8128784302403,-0.0051056327086204
"64",2029,"Light","E85",14.7372493136185,-0.00510563270859209
"65",2030,"Light","E85",14.6620063314878,-0.00510563270862034
"66",2018,"Medium","E85",9.53014617809133,NA
"67",2019,"Medium","E85",9.11859267955857,-0.0431843846717558
"68",2020,"Medium","E85",8.72481186561958,-0.0431843846717423
"69",2021,"Medium","E85",8.34803623382584,-0.0431843846717694
"70",2022,"Medium","E85",7.98753142585055,-0.0431843846717559
"71",2023,"Medium","E85",7.64259479617899,-0.0431843846717423
"72",2024,"Medium","E85",7.31255404261044,-0.0431843846717559
"73",2025,"Medium","E85",6.99676589590134,-0.0431843846717558
"74",2026,"Medium","E85",6.69461486599452,-0.0431843846717559
"75",2027,"Medium","E85",6.40551204239215,-0.0431843846717559
"76",2028,"Medium","E85",6.12889394633393,-0.0431843846717558
"77",2029,"Medium","E85",5.86422143254305,-0.043184384671756
"78",2030,"Medium","E85",5.61097863839975,-0.0431843846717559
"79",2018,"Heavy","EREV",8.78114362634565,NA
"80",2019,"Heavy","EREV",7.57212632987408,-0.137683352865817
"81",2020,"Heavy","EREV",6.52957058845385,-0.137683352865768
"82",2021,"Heavy","EREV",5.6305574170615,-0.137683352865817
"83",2022,"Heavy","EREV",4.85532339337725,-0.137683352865768
"84",2023,"Heavy","EREV",4.18682618932947,-0.137683352865768
"85",2024,"Heavy","EREV",3.61036992171617,-0.137683352865817
"86",2025,"Heavy","EREV",3.11328208580857,-0.137683352865768
"87",2026,"Heavy","EREV",2.68463496981751,-0.137683352865768
"88",2027,"Heavy","EREV",2.31500542595235,-0.137683352865768
"89",2028,"Heavy","EREV",1.99626771700467,-0.137683352865817
"90",2029,"Heavy","EREV",1.72141488450977,-0.137683352865768
"91",2030,"Heavy","EREV",1.48440471153743,-0.137683352865768
"92",2018,"Light","EREV",36.3160022730303,NA
"93",2019,"Light","EREV",34.3005745296214,-0.0554969604929695
"94",2020,"Light","EREV",32.3969969000657,-0.0554969604929427
"95",2021,"Light","EREV",30.5990620430119,-0.0554969604929696
"96",2022,"Light","EREV",28.9009071056898,-0.0554969604929426
"97",2023,"Light","EREV",27.2969946058351,-0.0554969604929428
"98",2024,"Light","EREV",25.7820943746183,-0.0554969604929695
"99",2025,"Light","EREV",24.3512665016848,-0.0554969604929426
"100",2026,"Light","EREV",22.9998452266883,-0.055496960492916
"101",2027,"Light","EREV",21.723423724799,-0.0554969604929426
"102",2028,"Light","EREV",20.5178397365712,-0.0554969604929964
"103",2029,"Light","EREV",19.3791619953107,-0.0554969604929159
"104",2030,"Light","EREV",18.3036774076706,-0.0554969604929426
"105",2018,"Medium","EREV",20.0918685712421,NA
"106",2019,"Medium","EREV",17.255982544338,-0.141145957472723
"107",2020,"Medium","EREV",14.8203703659857,-0.141145957472674
"108",2021,"Medium","EREV",12.7285350005783,-0.141145957472723
"109",2022,"Medium","EREV",10.9319537406972,-0.141145957472674
"110",2023,"Medium","EREV",9.3889526629195,-0.141145957472674
"111",2024,"Medium","EREV",8.06373994964566,-0.141145957472723
"112",2025,"Medium","EREV",6.92557565364227,-0.141145957472674
"113",2026,"Medium","EREV",5.94805864695949,-0.141145957472674
"114",2027,"Medium","EREV",5.10851421413077,-0.141145957472674
"115",2028,"Medium","EREV",4.38746808411427,-0.141145957472723
"116",2029,"Medium","EREV",3.76819470050116,-0.141145957472674
"117",2030,"Medium","EREV",3.23632925155546,-0.141145957472674
"118",2018,"Heavy","Gas",9.97502557401506,NA
"119",2019,"Heavy","Gas",11.0093630150423,0.103692710695564
"120",2020,"Heavy","Gas",12.1509537091035,0.103692710695564
"121",2021,"Heavy","Gas",13.4109190367371,0.103692710695596
